"AC";"AIRCEL"
"AT";"Airtel India"
"AV";"AEROVOYCE (MNVO Type)"
"CC";"BSNL Mobile CDMA"
"CG";"BSNL Mobile"
"DC";"DATACOM (Now renamed as Videocon Mobile Services)"
"DP";"MTNL (DOLPHIN)"
"ET";"Etisalat India"
"ID";"IDEA"
"LM";"Loop Mobile"
"MT";"MTS India"
"PG";"PING CDMA (HFCL Infotel Ltd.)"
"RC";"Reliance Mobile CDMA"
"RG";"Reliance Mobile GSM"
"RJ";"Reliance Jio"
"SP";"Spice Communications Limited."
"SR";"Subrin Rintel"
"ST";"S Tel"
"T24";"T24 (BIG BAZAAR)"
"TD";"TATA DOCOMO"
"TI";"Tata Indicom"
"TN";"telenor"
"UN";"Uninor"
"VC";"Virgin Mobile India CDMA"
"VD";"Videocon Mobile Services"
"VF";"Vodafone India"
"VG";"Virgin Mobile India GSM"
"VI";"Vodafone Idea"
